"Season" "Team" "Player" "Position" "Matches" "Goals"
"2300" "2004-05" "Racing de Santander" "Pablo Casar Bustillo" "Defender" 12 0
"2301" "2004-05" "Racing de Santander" "Frantz Bertin" "Defender" 12 0
"2302" "2004-05" "Racing de Santander" "Mehdi Ben Sadok Nafti" "Midfielder" 3 0
"2303" "2004-05" "Racing de Santander" "Jonatan Valle Trueba" "Forward" 1 0
"2304" "2004-05" "Racing de Santander" "Ayoze D°az D°az" "Midfielder" 10 1
"2305" "2004-05" "Racing de Santander" "Alessandro Pierini" "Defender" 3 0
"2306" "2004-05" "Racing de Santander" "Cristian Osvaldo µlvarez Reyes" "Defender" 2 0
"2310" "2004-05" "Racing de Santander" "ArgÇlico Fuks" "Defender" 1 0
"2311" "2004-05" "Racing de Santander" "Pablo Sierra Madrazo" "Midfielder" 1 0
"2313" "2004-05" "Mallorca" "David CortÇs Caballero" "Midfielder" 27 0
"2314" "2004-05" "Mallorca" "Hip¢lito Fern†ndez Serrano" "Midfielder" 30 0
"2315" "2004-05" "Mallorca" "Iv†n Ramis Barrios" "Defender" 20 0
"2316" "2004-05" "Mallorca" "Francisco Javier Farin¢s Zapata" "Midfielder" 15 3
"2317" "2004-05" "Mallorca" "Guillermo Ariel Pereyra" "Midfielder" 18 2
"2318" "2004-05" "Mallorca" "Alejandro Campano Hernando" "Midfielder" 13 3
"2319" "2004-05" "Mallorca" "Jorge L¢pez Monta§a" "Midfielder" 12 1
"2320" "2004-05" "Mallorca" "Luis Garc°a Fern†ndez" "Forward" 23 11
"2321" "2004-05" "Mallorca" "Juan Fernando Arango S†enz" "Forward" 27 6
"2322" "2004-05" "Mallorca" "Antoni Lluis Adrover Colom" "Midfielder" 4 1
"2323" "2004-05" "Mallorca" "Mark Iuliano" "Defender" 11 1
"2324" "2004-05" "Mallorca" "Yoshito Okubo" "Forward" 1 3
"2325" "2004-05" "Mallorca" "Fernando Ni§o Bejarano" "Defender" 8 0
"2326" "2004-05" "Mallorca" "JosÇ Jes£s Perera L¢pez" "Forward" 1 1
"2327" "2004-05" "Mallorca" "Andrija Delibasic" "Forward" 3 3
"2328" "2004-05" "Mallorca" "Marcos Mart°n de la Fuente Mart°n-FrancÇs" "Midfielder" 1 0
"2329" "2004-05" "Mallorca" "Bernardo Daniel Romeo" "Forward" 2 2
"2330" "2004-05" "Mallorca" "V°ctor Manuel Casades£s Casta§o" "Forward" 3 3
"2332" "2004-05" "Mallorca" "Patrick MÅller" "Defender" 4 0
"2333" "2004-05" "Mallorca" "Fernando Edgardo Correa Ayala" "Forward" 1 0
"2334" "2004-05" "Mallorca" "Marcos Vales Illanes" "Midfielder" 2 0
"2335" "2004-05" "Mallorca" "Miquel ∑ngel Nadal Homar" "Defender" 2 0
"2338" "2004-05" "Levante" "Pablo Pinillos Caro" "Midfielder" 33 0
"2339" "2004-05" "Levante" "Ian Harte" "Defender" 20 1
"2340" "2004-05" "Levante" "Jes£s Barbadilla Cervilla" "Defender" 32 1
"2341" "2004-05" "Levante" "JosÇ Antonio Culebras Arenas" "Defender" 23 1
"2342" "2004-05" "Levante" "Alberto Rivera Pizarro" "Midfielder" 35 5
"2343" "2004-05" "Levante" "FÇlix Dja Ettien Yohou" "Midfielder" 13 2
"2344" "2004-05" "Levante" "Ignacio PÇrez Santamaria" "Midfielder" 9 4
"2345" "2004-05" "Levante" "Fabio Celestini" "Midfielder" 21 1
"2346" "2004-05" "Levante" "Sergio Garc°a De la Fuente" "Forward" 6 7
"2347" "2004-05" "Levante" "Vladimir Manchev" "Forward" 7 6
"2348" "2004-05" "Levante" "Diego Camacho Quesada" "Midfielder" 16 0
"2349" "2004-05" "Levante" "Jofre Mateu Gonz†lez" "Midfielder" 11 2
"2350" "2004-05" "Levante" "JosÇ Alejandro Su†rez Mart°n" "Defender" 20 0
"2351" "2004-05" "Levante" "Juan Manuel G¢mez S†nchez" "Midfielder" 8 5
"2352" "2004-05" "Levante" "Edwin Arturo Congo Murillo" "Forward" 1 2
"2353" "2004-05" "Levante" "Gustavo Enrique Reggi" "Forward" 1 2
"2354" "2004-05" "Levante" "I§aki Descarga Retegui" "Midfielder" 6 0
"2355" "2004-05" "Levante" "Vicente Blanco S†nchez" "Midfielder" 1 0
"2357" "2004-05" "Levante" "Luis Manuel Rubiales BÇjar" "Midfielder" 1 0
"2358" "2004-05" "Levante" "Johan MjÑllby" "Defender" 3 0
"2359" "2004-05" "Levante" "Carlos Alejandro Sierra Fumero" "Midfielder" 1 0
"2360" "2004-05" "Numancia" "Juan Pablo De Miguel Bravo" "Midfielder" 16 0
"2361" "2004-05" "Numancia" "Patricio AndrÇs Graff" "Midfielder" 18 1
"2362" "2004-05" "Numancia" "Juan Cruz Ochoa L¢pez" "Defender" 29 1
"2363" "2004-05" "Numancia" "Stephane Jean Franáois Pignol" "Defender" 30 0
"2364" "2004-05" "Numancia" "Jaime Ram¢n Molina Mata" "Defender" 18 1
"2365" "2004-05" "Numancia" "CÇsar Palacios Chocarro" "Midfielder" 24 0
"2366" "2004-05" "Numancia" "Juan Luis G¢mez L¢pez" "Midfielder" 12 2
"2367" "2004-05" "Numancia" "Pablo Sanz Iniesta" "Midfielder" 9 1
"2368" "2004-05" "Numancia" "Luis Garc°a Tevenet" "Forward" 7 6
"2369" "2004-05" "Numancia" "Julio Pineda Romero" "Forward" 9 1
"2370" "2004-05" "Numancia" "Carlos Merino Gonz†lez" "Midfielder" 4 5
"2371" "2004-05" "Numancia" "Jes£s Enrique Velasco Mu§oz" "Midfielder" 12 0
"2372" "2004-05" "Numancia" "Antonio JosÇ Gonz†lez Santos" "Defender" 15 1
"2373" "2004-05" "Numancia" "Miguel Alfonso PÇrez Aracil" "Midfielder" 9 1
"2374" "2004-05" "Numancia" "Ram¢n Ros Badia" "Midfielder" 7 0
"2375" "2004-05" "Numancia" "Juan Carlos Moreno Rodr°guez" "Forward" 12 1
"2376" "2004-05" "Numancia" "Francisco Javier Tarantino Uriarte" "Midfielder" 12 1
"2377" "2004-05" "Numancia" "Miguel µngel L¢pez-Cedr¢n Freije" "Forward" 9 4
"2378" "2004-05" "Numancia" "Lee Chun Soo" "Forward" 2 0
"2379" "2004-05" "Numancia" "Aldo Pedro Arc†ngel Osorio" "Forward" 4 3
"2380" "2004-05" "Numancia" "Miguel µngel N£§ez Acosta" "Midfielder" 1 0
"2381" "2004-05" "Numancia" "Silvio Augusto Gonz†lez" "Forward" 1 0
"2382" "2004-05" "Numancia" "JosÇ Verd£ Nicol†s" "Forward" 1 0
"2384" "2004-05" "Numancia" "Mario Mart°nez Rubio" "Midfielder" 1 0
"2385" "2004-05" "Numancia" "Rafael JordÖ Ruiz de Ass°n" "Forward" 1 0
"2386" "2004-05" "Numancia" "Sergio Sestelo Guijarro" "Forward" 1 0
"2387" "2004-05" "Albacete" "Gaspar G†lvez Burgos" "Midfielder" 20 1
"2388" "2004-05" "Albacete" "Francisco Pe§a Romero" "Midfielder" 33 0
"2389" "2004-05" "Albacete" "Miquel Buades Cresp°" "Defender" 29 2
"2390" "2004-05" "Albacete" "RubÇn Gonz†lez Rocha" "Defender" 18 0
"2391" "2004-05" "Albacete" "Pablo Redondo Mart°nez" "Midfielder" 20 5
"2392" "2004-05" "Albacete" "µlvaro Rubio Robres" "Midfielder" 15 0
"2393" "2004-05" "Albacete" "Jaime S†nchez Fern†ndez" "Midfielder" 8 0
"2394" "2004-05" "Albacete" "Laurent Viaud" "Midfielder" 16 1
"2395" "2004-05" "Albacete" "Antonio Pacheco D'Agosti" "Forward" 25 12
"2396" "2004-05" "Albacete" "Francisco Javier Rodr°guez V°lchez" "Forward" 4 3
"2397" "2004-05" "Albacete" "Mark Dennis Gonz†lez Hoffman" "Forward" 6 5
"2398" "2004-05" "Albacete" "Mikel Aguirregomezkorta Larrea" "Forward" 7 0
"2399" "2004-05" "Albacete" "Jer¢nimo Figueroa Cabrera" "Midfielder" 7 1
"2400" "2004-05" "Albacete" "‡scar Montiel Mar°n" "Defender" 14 0
"2401" "2004-05" "Albacete" "RubÇn Castro Mart°n" "Forward" 5 3
"2402" "2004-05" "Albacete" "Carles Domingo Pladevall" "Midfielder" 13 0
"2403" "2004-05" "Albacete" "David S†nchez Rodr°guez" "Midfielder" 3 0
"2404" "2004-05" "Albacete" "Walter Horacio Peralta Saracho" "Forward" 2 0
"2405" "2004-05" "Albacete" "Agust°n Garc°a I§iguez" "Defender" 7 0
"2408" "2004-05" "Albacete" "Albert Cano L¢pez" "Midfielder" 1 0
"2409" "2004-05" "Albacete" "Gustavo Lionel Siviero" "Defender" 1 0
"2412" "2004-05" "Albacete" "Carlos Alfaro Mart°nez" "Midfielder" 1 0
"2419" "2005-06" "Barcelona" "Carles Puyol Saforcada" "Defender" 31 1
"2420" "2005-06" "Barcelona" "Silvio Mendes De Campos Junior" "Midfielder" 20 2
"2421" "2005-06" "Barcelona" "Oleguer Presas Renom" "Defender" 27 0
"2422" "2005-06" "Barcelona" "Rafael M†rquez µlvarez" "Defender" 16 0
"2423" "2005-06" "Barcelona" "Anderson Luis De Souza" "Midfielder" 20 2
"2424" "2005-06" "Barcelona" "JosÇ Edmilson Gomes Moraes" "Midfielder" 18 0
"2425" "2005-06" "Barcelona" "Mark Van Bommel" "Midfielder" 9 2
"2426" "2005-06" "Barcelona" "Samuel Eto'o Fils" "Forward" 30 26
"2427" "2005-06" "Barcelona" "Ronaldo De Assis Moreira" "Forward" 25 17
"2428" "2005-06" "Barcelona" "Ludovic Giuly" "Forward" 6 5
"2429" "2005-06" "Barcelona" "Juliano Haus Belletti" "Midfielder" 13 0
"2430" "2005-06" "Barcelona" "AndrÇs Iniesta Luj†n" "Midfielder" 9 0
"2431" "2005-06" "Barcelona" "Henrik Larsson" "Forward" 5 10
"2432" "2005-06" "Barcelona" "Giovanni Van Bronckhorst" "Midfielder" 13 0
"2433" "2005-06" "Barcelona" "Xavier Hern†ndez Creus" "Midfielder" 10 0
"2434" "2005-06" "Barcelona" "Lionel AndrÇs Messi Cuccittini" "Forward" 1 6
"2435" "2005-06" "Barcelona" "Thiago Motta" "Midfielder" 4 1
"2436" "2005-06" "Barcelona" "Santiago Ezquerro Mar°n" "Forward" 3 2
"2437" "2005-06" "Barcelona" "Gabriel Garcia De la Torre" "Midfielder" 1 0
"2438" "2005-06" "Barcelona" "Maximiliano Gast¢n L¢pez" "Forward" 2 0
"2439" "2005-06" "Barcelona" "Sergio Rodr°guez Garc°a" "Defender" 2 0
"2441" "2005-06" "Barcelona" "Jes£s Olmo Lozano" "Defender" 1 0
"2447" "2005-06" "Real Madrid" "Roberto Carlos Da Silva Rocha" "Midfielder" 33 5
"2448" "2005-06" "Real Madrid" "Iv†n Helguera Buj°a" "Defender" 16 0
"2449" "2005-06" "Real Madrid" "Miguel µngel Salgado Fern†ndez" "Midfielder" 22 0
"2450" "2005-06" "Real Madrid" "David Robert Joseph Beckham" "Midfielder" 19 3
"2451" "2005-06" "Real Madrid" "JosÇ Mar°a GutiÇrrez Hern†ndez" "Midfielder" 20 4
"2452" "2005-06" "Real Madrid" "Zinedine Yazid Zidane" "Midfielder" 17 9
"2453" "2005-06" "Real Madrid" "Robson De Souza" "Forward" 17 8
"2454" "2005-06" "Real Madrid" "Julio CÇsar Clemente Baptista" "Forward" 15 8
"2455" "2005-06" "Real Madrid" "Ronaldo Luiz Nazario De Lima" "Forward" 14 14
"2456" "2005-06" "Real Madrid" "Ra£l Gonz†lez Blanco" "Forward" 12 5
"2457" "2005-06" "Real Madrid" "Pablo Gabriel Garc°a PÇrez" "Midfielder" 8 0
"2458" "2005-06" "Real Madrid" "C°cero Joao De CÇzare" "Midfielder" 12 2
"2459" "2005-06" "Real Madrid" "µlvaro Mej°a PÇrez" "Defender" 13 1
"2460" "2005-06" "Real Madrid" "Thomas Gravesen" "Midfielder" 3 0
"2461" "2005-06" "Real Madrid" "Ra£l Bravo SanfÇlix" "Midfielder" 7 2
"2462" "2005-06" "Real Madrid" "Carlos AndrÇs Diogo Ense§at" "Midfielder" 5 0
"2463" "2005-06" "Real Madrid" "Francisco Pav¢n Barahona" "Defender" 5 0
"2464" "2005-06" "Real Madrid" "Jonathan Simon Woodgate" "Defender" 5 0
"2470" "2005-06" "Valencia" "Luis Miguel Brito Garc°a Monteiro" "Midfielder" 28 1
"2471" "2005-06" "Valencia" "Emiliano Moretti" "Midfielder" 30 0
"2472" "2005-06" "Valencia" "Ra£l Albiol Tortajada" "Defender" 29 1
"2473" "2005-06" "Valencia" "Roberto Fabi†n Ayala" "Defender" 20 2
"2474" "2005-06" "Valencia" "David Albelda AliquÇs" "Midfielder" 28 2
"2475" "2005-06" "Valencia" "RubÇn Baraja Vegas" "Midfielder" 19 4
"2476" "2005-06" "Valencia" "Pablo CÇsar Aimar Giordano" "Midfielder" 10 5
"2477" "2005-06" "Valencia" "David Villa S†nchez" "Forward" 16 25
"2478" "2005-06" "Valencia" "Miguel µngel Angulo Valderrey" "Forward" 17 6
"2479" "2005-06" "Valencia" "Mario Ignacio Regueiro Pintos" "Forward" 9 3
"2480" "2005-06" "Valencia" "Carlos Marchena L¢pez" "Defender" 18 0
"2481" "2005-06" "Valencia" "Vicente Rodr°guez GuillÇn" "Midfielder" 11 3
"2482" "2005-06" "Valencia" "Miguel µngel Ferrer Mart°nez" "Forward" 3 1
"2483" "2005-06" "Valencia" "Fabio Aurelio Rodrigues" "Midfielder" 8 2
"2484" "2005-06" "Valencia" "Francisco Joaqu°n PÇrez Rufete" "Midfielder" 3 0
"2485" "2005-06" "Valencia" "Hugo Miguel Ferreira Gomes Viana" "Midfielder" 2 0
"2486" "2005-06" "Valencia" "David Navarro Pedr¢s" "Defender" 7 2
"2487" "2005-06" "Valencia" "Amedeo Carboni" "Defender" 3 0
"2489" "2005-06" "Valencia" "Marco Antonio Simoes Caneira" "Midfielder" 3 0
"2490" "2005-06" "Valencia" "Eduardo CÇsar Daud Gaspar" "Midfielder" 1 0
"2493" "2005-06" "Valencia" "Crist¢bal Emilio Torres Ruiz" "Midfielder" 1 0
"2495" "2005-06" "Osasuna" "Javier Fla§o Bezunartea" "Midfielder" 28 0
"2496" "2005-06" "Osasuna" "Rafael Clavero Prados" "Midfielder" 18 0
"2497" "2005-06" "Osasuna" "JosÇ Romero Urtasun" "Defender" 26 0
"2498" "2005-06" "Osasuna" "Carlos Javier CuÇllar JimÇnez" "Defender" 27 1
"2499" "2005-06" "Osasuna" "Francisco Pu§al Mart°nez" "Midfielder" 26 4
"2500" "2005-06" "Osasuna" "David L¢pez Moreno" "Midfielder" 21 6
"2501" "2005-06" "Osasuna" "Ra£l Garc°a Escudero" "Midfielder" 19 5
"2502" "2005-06" "Osasuna" "Ludovic Delporte" "Midfielder" 8 3
"2503" "2005-06" "Osasuna" "Savo Milosevic" "Forward" 16 11
"2504" "2005-06" "Osasuna" "Bernardo Daniel Romeo" "Forward" 3 4
"2505" "2005-06" "Osasuna" "Pierre Achille Web¢ Kouamo" "Forward" 7 6
"2506" "2005-06" "Osasuna" "I§aki Mu§oz Oroz" "Midfielder" 14 5
"2507" "2005-06" "Osasuna" "Mohammed El Yaagoubi Youbi" "Midfielder" 5 2
"2508" "2005-06" "Osasuna" "Enrique Corrales Mart°n" "Midfielder" 17 0
"2509" "2005-06" "Osasuna" "CÇsar Cruchaga Lasa" "Defender" 12 0
"2510" "2005-06" "Osasuna" "Valmiro Lopes Rocha" "Midfielder" 4 2
"2511" "2005-06" "Osasuna" "Miguel Fla§o Bezunartea" "Defender" 8 0
"2512" "2005-06" "Osasuna" "JosÇ Izquierdo Mart°nez" "Midfielder" 4 0
"2513" "2005-06" "Osasuna" "Marcelo Fabi†n Sosa Farias" "Midfielder" 2 0
"2514" "2005-06" "Osasuna" "Juan Manuel Ortiz Palaz¢n" "Midfielder" 1 0
"2517" "2005-06" "Sevilla" "Daniel Alves Da Silva" "Midfielder" 32 3
"2518" "2005-06" "Sevilla" "David Castedo Escudero" "Midfielder" 25 0
"2519" "2005-06" "Sevilla" "Francisco Javier Vicente Navarro" "Defender" 15 0
"2520" "2005-06" "Sevilla" "Ivica Dragutinovic" "Defender" 17 1
"2521" "2005-06" "Sevilla" "Adriano Correia Claro" "Midfielder" 11 3
"2522" "2005-06" "Sevilla" "Josep Llu°s Mart° Soler" "Midfielder" 26 1
"2523" "2005-06" "Sevilla" "Enzo Maresca" "Midfielder" 16 8
"2524" "2005-06" "Sevilla" "Jes£s Navas Gonz†lez" "Forward" 22 2
"2525" "2005-06" "Sevilla" "Frederic KanoutÇ" "Forward" 19 6
"2526" "2005-06" "Sevilla" "Javier Pedro Saviola Fern†ndez" "Forward" 10 9
"2527" "2005-06" "Sevilla" "Aitor Ocio Carri¢n" "Defender" 17 2
"2528" "2005-06" "Sevilla" "Luis Fabiano Clemente" "Forward" 3 5
"2529" "2005-06" "Sevilla" "Kepa Blanco Gonz†lez" "Forward" 4 6
"2530" "2005-06" "Sevilla" "Renato Dirnei Florencio Santos" "Midfielder" 10 1
"2531" "2005-06" "Sevilla" "Jordi L¢pez Felpeto" "Midfielder" 8 1
"2532" "2005-06" "Sevilla" "Julien EscudÇ" "Defender" 11 0
"2533" "2005-06" "Sevilla" "Antonio JosÇ Puerta PÇrez" "Midfielder" 5 2
"2534" "2005-06" "Sevilla" "Fernando Sales De los Cobos" "Midfielder" 4 1
"2536" "2005-06" "Sevilla" "David Prieto G†lvez" "Defender" 3 0
"2537" "2005-06" "Sevilla" "JosÇ µngel Crespo Rinc¢n" "Midfielder" 1 0
"2542" "2005-06" "Celta de Vigo" "µngel Domingo L¢pez Ruano" "Midfielder" 36 2
"2543" "2005-06" "Celta de Vigo" "Diego Rodolfo Placente" "Midfielder" 23 0
"2544" "2005-06" "Celta de Vigo" "Mat°as Emanuel Lequi" "Defender" 25 2
"2545" "2005-06" "Celta de Vigo" "Sergio Fern†ndez Gonz†lez" "Defender" 25 0
"2546" "2005-06" "Celta de Vigo" "Borja Oubi§a MelÇndez" "Midfielder" 33 1
"2547" "2005-06" "Celta de Vigo" "Antonio N£§ez Tena" "Midfielder" 8 2
"2548" "2005-06" "Celta de Vigo" "Iriney Santos Da Silva" "Midfielder" 21 0
"2549" "2005-06" "Celta de Vigo" "Joao Fernando Nelo" "Forward" 19 13
"2550" "2005-06" "Celta de Vigo" "NÇstor Fabi†n Canobbio Bentaberry" "Forward" 17 8
"2551" "2005-06" "Celta de Vigo" "David JosuÇ JimÇnez Silva" "Forward" 21 4
"2552" "2005-06" "Celta de Vigo" "Pablo AndrÇs Contreras Fica" "Defender" 21 4
"2554" "2005-06" "Celta de Vigo" "Daniel De Ridder" "Midfielder" 1 1
"2555" "2005-06" "Celta de Vigo" "JosÇ Enrique S†nchez D°az" "Midfielder" 12 0
"2556" "2005-06" "Celta de Vigo" "Francisco Javier Garc°a Guerrero" "Forward" 1 0
"2557" "2005-06" "Celta de Vigo" "Gustavo Adri†n L¢pez Pablos" "Midfielder" 1 1
"2558" "2005-06" "Celta de Vigo" "Jonathan Aspas Juncal" "Midfielder" 3 1
"2559" "2005-06" "Celta de Vigo" "JosÇ Jes£s Perera L¢pez" "Forward" 1 4
"2563" "2005-06" "Celta de Vigo" "Everton Giovanella" "Midfielder" 1 0
"2564" "2005-06" "Villarreal" "Javier Rodr°guez Venta" "Midfielder" 24 0
"2565" "2005-06" "Villarreal" "Rodolfo Mart°n Arruabarrena" "Midfielder" 27 0
"2566" "2005-06" "Villarreal" "Juan Manuel Pe§a Montano" "Defender" 21 0
"2567" "2005-06" "Villarreal" "Gonzalo Javier Rodr°guez Prado" "Defender" 26 0
"2568" "2005-06" "Villarreal" "Marcos Antonio Senna Da Silva" "Midfielder" 23 3
"2569" "2005-06" "Villarreal" "JosÇ Joaqu°n Moreno Verd£" "Midfielder" 15 1
"2570" "2005-06" "Villarreal" "Juan Rom†n Riquelme" "Midfielder" 19 12
"2571" "2005-06" "Villarreal" "Alessio Tacchinardi" "Midfielder" 13 2
"2572" "2005-06" "Villarreal" "Diego Mart°n Forl†n Corazo" "Forward" 23 10
"2573" "2005-06" "Villarreal" "JosÇ Mar°a Romero Poy¢n" "Forward" 10 5
"2574" "2005-06" "Villarreal" "Enrique µlvarez Sanju†n" "Defender" 20 0
"2575" "2005-06" "Villarreal" "Santiago Cazorla Gonz†lez" "Midfielder" 4 0
"2576" "2005-06" "Villarreal" "Juan Pablo Sor°n" "Midfielder" 7 3
"2577" "2005-06" "Villarreal" "Roger Garc°a Junyent" "Midfielder" 5 2
"2578" "2005-06" "Villarreal" "HÇctor Font Romero" "Midfielder" 3 1
"2579" "2005-06" "Villarreal" "Antonio Guayre Betancor Perdomo" "Forward" 3 2
"2580" "2005-06" "Villarreal" "CÇsar Arzo Amposta" "Defender" 5 0
"2581" "2005-06" "Villarreal" "Luciano Gabriel Figueroa" "Forward" 2 2
"2582" "2005-06" "Villarreal" "Guillermo Luis Franco Farcuas¢n" "Forward" 6 4
"2583" "2005-06" "Villarreal" "JosÇ Miguel Gonz†lez Rey" "Midfielder" 8 0
"2585" "2005-06" "Villarreal" "Jan Kromkamp" "Defender" 6 0
"2586" "2005-06" "Villarreal" "Carlos Alc†ntara Cuevas" "Midfielder" 3 0
"2590" "2005-06" "Villarreal" "‡scar L¢pez Mart°nez" "Defender" 1 0
"2591" "2005-06" "Deportivo de La Coru§a" "Manuel Pablo Garc°a D°az" "Midfielder" 25 0
"2592" "2005-06" "Deportivo de La Coru§a" "Joan Capdevila MÇndez" "Midfielder" 35 4
"2593" "2005-06" "Deportivo de La Coru§a" "Juan Manuel Delgado Moreno" "Defender" 20 4
"2594" "2005-06" "Deportivo de La Coru§a" "Fabricio Coloccini" "Defender" 20 0
"2595" "2005-06" "Deportivo de La Coru§a" "Sergio Gonz†lez Soriano" "Midfielder" 22 3
"2596" "2005-06" "Deportivo de La Coru§a" "Aldo Pedro Duscher" "Midfielder" 26 0
"2597" "2005-06" "Deportivo de La Coru§a" "V°ctor S†nchez Del Amo" "Midfielder" 10 4
"2598" "2005-06" "Deportivo de La Coru§a" "Pedro Munitis µlvarez" "Forward" 23 2
"2599" "2005-06" "Deportivo de La Coru§a" "Diego Trist†n Herrera" "Forward" 8 11
"2600" "2005-06" "Deportivo de La Coru§a" "RubÇn Castro Mart°n" "Forward" 2 3
"2601" "2005-06" "Deportivo de La Coru§a" "Julien Bobby De Guzm†n" "Midfielder" 7 1
"2602" "2005-06" "Deportivo de La Coru§a" "Enrique Fern†ndez Romero" "Midfielder" 15 0
"2603" "2005-06" "Deportivo de La Coru§a" "Juan Carlos Valer¢n Santana" "Midfielder" 8 4
"2604" "2005-06" "Deportivo de La Coru§a" "Jorge Manuel Almeida Gomes De Andrade" "Defender" 16 1
"2605" "2005-06" "Deportivo de La Coru§a" "HÇctor Berenguel Del Pino" "Midfielder" 14 0
"2606" "2005-06" "Deportivo de La Coru§a" "Lionel Sebasti†n Scaloni" "Defender" 5 0
"2607" "2005-06" "Deportivo de La Coru§a" "Iago Iglesias Castro" "Midfielder" 1 2
"2610" "2005-06" "Deportivo de La Coru§a" "CÇsar Mart°n Villar" "Defender" 1 0
"2616" "2005-06" "Getafe" "Cosmin Marius Contra" "Midfielder" 21 0
"2617" "2005-06" "Getafe" "Mariano AndrÇs Pern°a Molina" "Midfielder" 33 10
"2618" "2005-06" "Getafe" "David Belenguer Reverter" "Defender" 26 1
"2619" "2005-06" "Getafe" "Anibal Samuel Matell†n" "Defender" 19 0
"2620" "2005-06" "Getafe" "Diego Rivas GutiÇrrez" "Midfielder" 29 0
"2621" "2005-06" "Getafe" "Jaime Gavil†n Mart°nez" "Midfielder" 13 4
"2622" "2005-06" "Getafe" "Mario GutiÇrrez Cotelo" "Midfielder" 18 0
"2623" "2005-06" "Getafe" "Veljko Paunovic" "Midfielder" 6 10
"2624" "2005-06" "Getafe" "Iv†n S†nchez-Rico Soto" "Forward" 18 8
"2625" "2005-06" "Getafe" "Daniel Gonz†lez GÅiza" "Forward" 7 9
"2626" "2005-06" "Getafe" "RubÇn Mart°n Pulido" "Defender" 19 2
"2627" "2005-06" "Getafe" "µngel Manuel Vivar Dorado" "Midfielder" 8 2
"2628" "2005-06" "Getafe" "Pablo Redondo Mart°nez" "Midfielder" 5 2
"2629" "2005-06" "Getafe" "Fabio Celestini" "Midfielder" 11 0
"2630" "2005-06" "Getafe" "Manuel Tena L¢pez" "Defender" 15 1
"2631" "2005-06" "Getafe" "Alberto Aguilar Leiva" "Midfielder" 8 0
"2633" "2005-06" "Getafe" "David Garc°a Cubillo" "Midfielder" 2 0
"2636" "2005-06" "Getafe" "Javier Paredes Arango" "Midfielder" 2 0
"2638" "2005-06" "AtlÇtico de Madrid" "Juan Velasco Damas" "Midfielder" 23 0
"2639" "2005-06" "AtlÇtico de Madrid" "Antonio L¢pez Guerrero" "Midfielder" 34 3
"2640" "2005-06" "AtlÇtico de Madrid" "Pablo Ib†§ez Tebar" "Defender" 34 2
"2641" "2005-06" "AtlÇtico de Madrid" "Luis Amaranto Perea Mosquera" "Defender" 31 0
"2642" "2005-06" "AtlÇtico de Madrid" "Peter Bernard Luccin" "Midfielder" 23 2
"2643" "2005-06" "AtlÇtico de Madrid" "Maximiliano RubÇn Rodr°guez" "Midfielder" 17 10
"2644" "2005-06" "AtlÇtico de Madrid" "Gabriel Fern†ndez Arenas" "Midfielder" 12 1
"2645" "2005-06" "AtlÇtico de Madrid" "Fernando JosÇ Torres Sanz" "Forward" 30 13
"2646" "2005-06" "AtlÇtico de Madrid" "Martin Petrov" "Forward" 15 1
"2647" "2005-06" "AtlÇtico de Madrid" "Mateja Kezman" "Forward" 10 8
"2648" "2005-06" "AtlÇtico de Madrid" "Ariel Miguel Santiago Ibagaza" "Midfielder" 6 0
"2649" "2005-06" "AtlÇtico de Madrid" "Luciano Mart°n Galletti" "Forward" 7 1
"2650" "2005-06" "AtlÇtico de Madrid" "JosÇ Ignacio Zah°nos S†nchez" "Midfielder" 13 1
"2651" "2005-06" "AtlÇtico de Madrid" "Juan Valera Esp°n" "Midfielder" 7 2
"2652" "2005-06" "AtlÇtico de Madrid" "Francisco JosÇ Molinero Calder¢n" "Midfielder" 9 0
"2653" "2005-06" "AtlÇtico de Madrid" "JosÇ Antonio Garc°a Calvo" "Defender" 6 0
"2654" "2005-06" "AtlÇtico de Madrid" "Gonzalo Colsa Albendea" "Midfielder" 5 1
"2656" "2005-06" "AtlÇtico de Madrid" "Mario Su†rez Mata" "Midfielder" 2 0
"2661" "2005-06" "Real Zaragoza" "Gabriel Alejandro Milito" "Defender" 32 1
"2662" "2005-06" "Real Zaragoza" "Delio CÇsar Toledo Rodas" "Midfielder" 19 0
"2663" "2005-06" "Real Zaragoza" "µlvaro Luiz Maior De Aquino" "Defender" 29 0
"2664" "2005-06" "Real Zaragoza" "Leonardo Daniel Ponzio" "Midfielder" 33 1
"2665" "2005-06" "Real Zaragoza" "‡scar Javier Gonz†lez Marcos" "Midfielder" 12 3
"2666" "2005-06" "Real Zaragoza" "Alberto Zapater Arjol" "Midfielder" 14 0
